Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Doctor Strange in the Multiverse of Madness,"$880,983,652","$378,050,351",42.9%,"$502,933,301",57.1%
2,The Batman,"$770,336,695","$369,336,695",47.9%,"$401,000,000",52.1%
3,Water Gate Bridge,"$626,571,280","$117,294",<0.1%,"$626,453,986",100%
4,Uncharted,"$400,977,533","$147,877,533",36.9%,"$253,100,000",63.1%
5,Fantastic Beasts: The Secrets of Dumbledore,"$396,165,662","$95,065,662",24%,"$301,100,000",76%
6,Sonic the Hedgehog 2,"$386,078,852","$186,278,852",48.2%,"$199,800,000",51.8%
7,Top Gun: Maverick,"$330,637,143","$191,137,143",57.8%,"$139,500,000",42.2%
8,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
9,Nice View,"$211,019,042",-,-,"$211,019,042",100%
10,The Bad Guys,"$201,846,995","$83,432,995",41.3%,"$118,414,000",58.7%
11,The Lost City,"$181,634,517","$102,434,517",56.4%,"$79,200,000",43.6%
12,Morbius,"$163,309,407","$73,309,407",44.9%,"$90,000,000",55.1%
13,Scream,"$140,041,405","$81,641,405",58.3%,"$58,400,000",41.7%
14,Death on the Nile,"$137,295,068","$45,630,104",33.2%,"$91,664,964",66.8%
15,RRR,"$99,746,831","$11,113,000",11.1%,"$88,633,831",88.9%
16,K.G.F: Chapter 2,"$90,367,198","$2,874,000",3.2%,"$87,493,198",96.8%
17,Dog,"$81,200,919","$61,778,069",76.1%,"$19,422,850",23.9%
18,Jackass Forever,"$80,340,218","$57,743,451",71.9%,"$22,596,767",28.1%
19,Everything Everywhere All at Once,"$77,500,174","$57,889,793",74.7%,"$19,610,381",25.3%
20,Downton Abbey: A New Era,"$72,855,664","$31,873,990",43.7%,"$40,981,674",56.3%
21,The Northman,"$67,134,730","$33,924,730",50.5%,"$33,210,000",49.5%
22,Detective Conan: The Bride of Halloween,"$62,658,785",-,-,"$62,658,785",100%
23,Ambulance,"$51,309,115","$22,309,115",43.5%,"$29,000,000",56.5%
24,Marry Me,"$50,509,649","$22,438,180",44.4%,"$28,071,469",55.6%
25,Moonfall,"$44,345,119","$19,060,660",43%,"$25,284,459",57%
26,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
27,The Roundup,"$29,777,413","$417,011",1.4%,"$29,360,402",98.6%
28,The Unbearable Weight of Massive Talent,"$28,251,049","$20,117,611",71.2%,"$8,133,438",28.8%
29,The 355,"$27,824,102","$14,570,455",52.4%,"$13,253,647",47.6%
30,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
31,The Confidence Man JP: Episode of the Hero,"$23,100,870",-,-,"$23,100,870",100%
32,The Last 10 Years,"$22,456,368",-,-,"$22,456,368",100%
33,Father Stu,"$21,422,564","$20,740,439",96.8%,"$682,125",3.2%
34,Doraemon the Movie: Nobita's Little Star Wars 2021,"$20,852,061",-,-,"$20,852,061",100%
35,Beast,"$18,911,959",-,-,"$18,911,959",100%
