Rank,Release Group,Worldwide,Domestic,Foreign,Year,Domestic %,Foreign %
1,Avengers: Endgame,2797501328,858373000,1939128328,2019,0.30683560054417247,0.6931643994558275
2,Avengers: Infinity War,2048359754,678815482,1369544272,2018,0.3313946589091205,0.6686053410908794
3,Spider-Man: No Way Home,1892747988,804747988,1088000000,2021,0.42517439886455716,0.5748256011354429
4,The Lion King,1656943394,543638043,1113305351,2019,0.32809693135479556,0.6719030686452044
5,Frozen II,1450026933,477373578,972653355,2019,0.329217042205105,0.6707829577948949
6,Black Panther,1346913161,700059566,646853595,2018,0.5197510769589992,0.4802489230410007
7,Jurassic World: Fallen Kingdom,1308467944,417719760,890748184,2018,0.3192434036427567,0.6807565963572433
8,Incredibles 2,1242805359,608581744,634223615,2018,0.48968387494698595,0.510316125053014
9,Aquaman,1148461807,335061807,813400000,2018,0.2917483236776023,0.7082516763223977
10,Spider-Man: Far from Home,1131927996,390532085,741395911,2019,0.345014953583673,0.654985046416327
11,Captain Marvel,1128274794,426829839,701444955,2019,0.3783030882811692,0.6216969117188308
12,Joker,1074251311,335451311,738800000,2019,0.3122652097931673,0.6877347902068327
13,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,558941706,2019,0.4796399952420543,0.5203600047579457
14,Toy Story 4,1073394593,434038008,639356585,2019,0.4043601587249657,0.5956398412750342
15,Aladdin,1050693953,355559216,695134737,2019,0.3384041708670612,0.6615958291329388
16,Bohemian Rhapsody,903655259,216428042,687227217,2018,0.23950288546929155,0.7604971145307085
17,The Battle at Lake Changjin,902540935,342411,902198524,2021,0.00037938556216289516,0.9996206144378371
18,Doctor Strange in the Multiverse of Madness,880983652,378050351,502933301,2022,0.4291230037489958,0.5708769962510042
19,Venom,856085151,213515506,642569645,2018,0.24940919224050412,0.7505908077594958
20,"Hi, Mom",822009764,0,822009764,2021,0.0,1.0
21,Jumanji: The Next Level,800059707,320314960,479744747,2019,0.4003638193467978,0.5996361806532021
22,Mission: Impossible - Fallout,791115104,220159104,570956000,2018,0.27828959766643513,0.7217104023335649
23,No Time to Die,774153007,160891007,613262000,2021,0.20782843384344046,0.7921715661565596
24,The Batman,770336695,369336695,401000000,2022,0.4794483988588912,0.5205516011411089
25,Fast & Furious Presents: Hobbs & Shaw,759056935,173956935,585100000,2019,0.22917508157671992,0.77082491842328
26,Deadpool 2,734546611,318491426,416055185,2018,0.43358912998919275,0.5664108700108073
27,F9: The Fast Saga,726229501,173005945,553223556,2021,0.23822489276705933,0.7617751072329407
28,Ne Zha,726063471,3695533,722367938,2019,0.005089820859476899,0.9949101791405232
29,The Wandering Earth,699856699,5971413,693885286,2019,0.008532336703402763,0.9914676632965972
30,Detective Chinatown 3,686257563,0,686257563,2021,0.0,1.0
31,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,495300000,2018,0.24365039813545178,0.7563496018645482
32,Water Gate Bridge,626571280,117294,626453986,2022,0.00018719977079064332,0.9998128002292094
33,Ant-Man and the Wasp,622674139,216648740,406025399,2018,0.3479327732285988,0.6520672267714012
34,Ready Player One,582890172,137690172,445200000,2018,0.23621975221774713,0.7637802477822528
35,Operation Red Sea,579330426,1543547,577786879,2018,0.0026643637736368433,0.9973356362263631
36,Detective Chinatown 2,544185156,1983984,542201172,2018,0.0036457885301083076,0.9963542114698917
37,The Meg,530243742,145443742,384800000,2018,0.2742960085703378,0.7257039914296621
38,Ralph Breaks the Internet,529323962,201091711,328232251,2018,0.3799029052835511,0.6200970947164489
39,Hotel Transylvania 3: Summer Vacation,528583774,167510016,361073758,2018,0.31690343941583043,0.6830965605841696
40,How to Train Your Dragon: The Hidden World,521799505,160799505,361000000,2019,0.3081633912243746,0.6918366087756255
41,The Grinch,511595957,270620950,240975007,2018,0.5289739809261237,0.4710260190738763
42,Venom: Let There Be Carnage,506863592,213550366,293313226,2021,0.42131723282267236,0.5786827671773277
43,Maleficent: Mistress of Evil,491730089,113929605,377800484,2019,0.23169134358178353,0.7683086564182164
44,It Chapter Two,473093228,211593228,261500000,2019,0.44725482310222375,0.5527451768977762
45,Godzilla vs. Kong,468216094,100916094,367300000,2021,0.2155331593535527,0.7844668406464473
46,Bumblebee,467989645,127195589,340794056,2018,0.2717914602576303,0.7282085397423698
47,The Eight Hundred,461421559,372755,461048804,2020,0.0008078404502985089,0.9991921595497015
48,Demon Slayer the Movie: Mugen Train,453210959,49505008,403705951,2020,0.10923170990664416,0.8907682900933558
49,Dying to Survive,451176639,0,451176639,2018,0.0,1.0
50,"My People, My Country",450064993,2356683,447708310,2019,0.005236317057878794,0.9947636829421213
51,A Star Is Born,436188866,215288866,220900000,2018,0.4935679995096436,0.5064320004903564
52,Pokémon Detective Pikachu,433005346,144105346,288900000,2019,0.3328026947731957,0.6671973052268043
53,Shang-Chi and the Legend of the Ten Rings,432243292,224543292,207700000,2021,0.5194835782437082,0.48051642175629183
54,The Secret Life of Pets 2,430051293,158874395,271176898,2019,0.36943126921374003,0.63056873078626
55,Rampage,428028233,101028233,327000000,2018,0.2360317035441912,0.7639682964558088
56,Bad Boys for Life,426505244,206305244,220200000,2020,0.4837109200936343,0.5162890799063657
57,"My People, My Homeland",422390820,0,422390820,2020,0.0,1.0
58,The Captain,417282021,706572,416575449,2019,0.0016932720904359309,0.9983067279095641
59,Sing 2,409753307,162790990,246962317,2021,0.3972902407838285,0.6027097592161715
60,Alita: Battle Angel,404980543,85838210,319142333,2019,0.21195638033405473,0.7880436196659453
61,Eternals,402064899,164870234,237194665,2021,0.41005876019035425,0.5899412398096457
62,Uncharted,400977533,147877533,253100000,2022,0.36879256524330006,0.6312074347566999
63,Dune,400671789,108327830,292343959,2021,0.2703655035718025,0.7296344964281974
64,Fantastic Beasts: The Secrets of Dumbledore,396165662,95065662,301100000,2022,0.23996441670404034,0.7600355832959597
65,Mamma Mia! Here We Go Again,395044706,120634935,274409771,2018,0.3053703369967449,0.6946296630032551
66,Solo: A Star Wars Story,392924807,213767512,179157295,2018,0.5440417815106289,0.4559582184893712
67,Godzilla: King of the Monsters,386600138,110500138,276100000,2019,0.2858253971963145,0.7141746028036855
68,Sonic the Hedgehog 2,386078852,186278852,199800000,2022,0.48248913670101773,0.5175108632989822
69,1917,384919389,159227644,225691745,2019,0.4136649089401937,0.5863350910598063
70,Black Widow,379751655,183651655,196100000,2021,0.4836098870984512,0.5163901129015488
71,Spider-Man: Into the Spider-Verse,375540831,190241310,185299521,2018,0.5065795628491859,0.49342043715081413
72,Once Upon a Time... In Hollywood,374375059,142502728,231872331,2019,0.3806416174748436,0.6193583825251564
73,Fifty Shades Freed,371985018,100407760,271577258,2018,0.26992420431298125,0.7300757956870187
74,Hello Mr. Billionaire,366961907,0,366961907,2018,0.0,1.0
75,Shazam!,365971656,140371656,225600000,2019,0.3835588185550632,0.6164411814449369
76,The Nun,365550119,117450119,248100000,2018,0.32129689718415877,0.6787031028158412
77,Tenet,363704105,58504105,305200000,2020,0.16085632302665376,0.8391436769733462
78,Monster Hunt 2,361682618,706153,360976465,2018,0.0019524106629862981,0.9980475893370137
79,Dumbo,353284621,114766307,238518314,2019,0.32485508900768145,0.6751449109923185
80,Peter Rabbit,351266433,115253424,236013009,2018,0.3281082767165515,0.6718917232834485
81,Mary Poppins Returns,349537494,171958438,177579056,2018,0.4919599211865952,0.5080400788134047
82,A Quiet Place,340939361,188024361,152915000,2018,0.5514891576276522,0.44851084237234784
83,Free Guy,331526598,121626598,209900000,2021,0.36686829573776764,0.6331317042622324
84,Top Gun: Maverick,330637143,191137143,139500000,2022,0.5780873294081179,0.42191267059188203
85,Crazy Alien,327598891,0,327598891,2019,0.0,1.0
86,John Wick: Chapter 3 - Parabellum,326709727,171015687,155694040,2019,0.5234484096030603,0.47655159039693973
87,Green Book,321752656,85080171,236672485,2018,0.26442725308847176,0.7355727469115282
88,Sonic the Hedgehog,319715683,148974665,170741018,2020,0.46595982906475064,0.5340401709352494
89,Knives Out,311605581,165363234,146242347,2019,0.5306812332093628,0.46931876679063717
90,Skyscraper,304868961,68420120,236448841,2018,0.22442468323300382,0.7755753167669962
91,Ocean's Eight,297718711,140218711,157500000,2018,0.47097715333048046,0.5290228466695195
92,A Quiet Place Part II,297372261,160072261,137300000,2021,0.5382891479578857,0.4617108520421143
93,Pacific Rim: Uprising,290930148,59874525,231055623,2018,0.20580378283793402,0.794196217162066
94,Maze Runner: The Death Cure,288175335,58032443,230142892,2018,0.2013789382772818,0.7986210617227182
95,Tomb Raider,274650803,58250803,216400000,2018,0.21209041577060309,0.7879095842293969
96,Terminator: Dark Fate,261119292,62253077,198866215,2019,0.23840856998034446,0.7615914300196556
97,Parasite,258632621,53369749,205262872,2019,0.2063535094438068,0.7936464905561932
98,Pegasus,255863112,0,255863112,2019,0.0,1.0
99,Encanto,255731274,96093622,159637652,2021,0.3757601504773327,0.6242398495226673
100,Halloween,255485178,159342015,96143163,2018,0.6236839892136522,0.37631601078634785
101,Us,255184580,175084580,80100000,2019,0.6861095603817441,0.3138904396182559
102,Men in Black: International,253890701,80001807,173888894,2019,0.31510333653377876,0.6848966634662212
103,X-Men: Dark Phoenix,252442974,65845974,186597000,2019,0.26083504308580996,0.73916495691419
104,Glass,246999039,111048468,135950571,2019,0.44959068848846817,0.5504093115115318
105,Dolittle,245439115,77047065,168392050,2020,0.31391518421992354,0.6860848157800764
106,The Bravest,245179562,290217,244889345,2019,0.0011836916488169597,0.9988163083511831
107,Legend of Deification,240663149,214670,240448479,2020,0.0008919936471038197,0.9991080063528962
108,Crazy Rich Asians,238532921,174532921,64000000,2018,0.7316932198218459,0.2683067801781541
109,Cruella,233503234,86103234,147400000,2021,0.3687453596467105,0.6312546403532895
110,Annabelle Comes Home,231252591,74152591,157100000,2019,0.32065626023623667,0.6793437397637634
111,Better Days,225918798,1921657,223997141,2019,0.008505963279779843,0.9914940367202202
112,Ford v Ferrari,225508210,117624357,107883853,2019,0.521596783549477,0.47840321645052303
113,"My Country, My Parents",221715716,166807,221548909,2021,0.0007523463063845235,0.9992476536936155
114,Jungle Cruise,220889446,116987516,103901930,2021,0.5296202155353317,0.4703797844646684
115,Too Cool to Kill,217254604,185882,217068722,2022,0.000855595216753151,0.9991444047832468
116,Little Women,216601214,108101214,108500000,2019,0.4990794465260938,0.5009205534739062
117,A Little Red Flower,216000000,0,216000000,2020,0.0,1.0
118,The Croods: A New Age,215905815,58568815,157337000,2020,0.271270206409216,0.728729793590784
119,Creed II,214215889,115715889,98500000,2018,0.5401835015142131,0.45981649848578693
120,Smallfoot,214040103,83240103,130800000,2018,0.3888995652370808,0.6111004347629192
121,Nice View,211019042,0,211019042,2022,0.0,1.0
122,Us and Them,209221380,0,209221380,2018,0.0,1.0
123,Raging Fire,205846481,385305,205461176,2021,0.0018718075632296089,0.9981281924367704
124,The Addams Family,203044905,100044905,103000000,2019,0.49272305059809307,0.5072769494019069
125,The Conjuring: The Devil Made Me Do It,202031050,65631050,136400000,2021,0.324856253531326,0.675143746468674
126,Birds of Prey,201858461,84158461,117700000,2020,0.41691817416561006,0.5830818258343899
127,The Bad Guys,201846995,83432995,118414000,2022,0.41334771914736707,0.586652280852633
128,Shock Wave 2,198921659,0,198921659,2020,0.0,1.0
129,The Island,198326350,670883,197655467,2018,0.0033827224672868736,0.9966172775327131
130,Christopher Robin,197744377,99215042,98529335,2018,0.5017338217409844,0.4982661782590157
131,Ghostbusters: Afterlife,197360575,129360575,68000000,2021,0.655452969773725,0.3445470302262749
132,Chinese Doctors,197143218,0,197143218,2021,0.0,1.0
133,Rocketman,195320400,96368160,98952240,2019,0.4933850227625993,0.5066149772374007
134,Weathering with You,193932489,8056636,185875853,2019,0.04154350847319863,0.9584564915268013
135,The Lego Movie 2: The Second Part,192306508,105806508,86500000,2019,0.5501972299346208,0.44980277006537916
136,Downton Abbey,192199131,96853865,95345266,2019,0.5039245728951813,0.4960754271048187
137,Sheep Without a Shepherd,191602146,0,191602146,2019,0.0,1.0
138,The Equalizer 2,190400157,102084362,88315795,2018,0.5361569213411941,0.4638430786588059
139,The White Storm 2: Drug Lords,189396380,609461,188786919,2019,0.003217912612690908,0.9967820873873091
140,Project Gutenberg,188116796,0,188116796,2018,0.0,1.0
141,The Lost City,181634517,102434517,79200000,2022,0.5639595308858613,0.4360404691141387
142,Cliff Walkers,181325565,152972,181172593,2021,0.0008436317294806168,0.9991563682705193
143,Abominable,179053956,60716390,118337566,2019,0.33909549588505045,0.6609045041149496
144,Ip Man 4: The Finale,176345966,3956031,172389935,2019,0.02243335126815433,0.9775666487318456
145,The Mule,174804407,103804407,71000000,2018,0.5938317504775494,0.40616824952245056
146,The Nutcracker and the Four Realms,173961069,54858851,119102218,2018,0.3153513100106323,0.6846486899893677
147,Gemini Man,173469516,48546770,124922746,2019,0.27985764369112553,0.7201423563088745
148,Spies in Disguise,171616764,66757013,104859751,2019,0.3889888810629246,0.6110111189370754
149,Insidious: The Last Key,167885588,67745330,100140258,2018,0.40352081919026905,0.596479180809731
150,The Suicide Squad,167417425,55817425,111600000,2021,0.33340272077413685,0.6665972792258631
151,Wonder Woman 1984,166801036,46801036,120000000,2020,0.28058000790834414,0.7194199920916559
152,Morbius,163309407,73309407,90000000,2022,0.44889886226823417,0.5511011377317658
153,Space Jam: A New Legacy,162892228,70592228,92300000,2021,0.43336768651724744,0.5666323134827526
154,The Sacrifice,161047608,0,161047608,2020,0.0,1.0
155,The Predator,160542134,51024708,109517426,2018,0.3178275181018835,0.6821724818981165
156,Johnny English Strikes Again,158970776,4412170,154558606,2018,0.02775459811556811,0.9722454018844319
157,Hustlers,157563598,104963598,52600000,2019,0.6661665469203109,0.33383345307968915
158,Jujutsu Kaisen 0: The Movie,157040831,29693448,127347383,2021,0.1890810677128931,0.8109189322871069
159,The Climbers,156892866,487157,156405709,2019,0.0031050296448788183,0.9968949703551212
160,The Matrix Resurrections,156575035,37686805,118888230,2021,0.24069485279054864,0.7593051472094514
161,Escape Room,155712077,57005601,98706476,2019,0.36609620845273294,0.6339037915472671
162,Yesterday,154608507,73286650,81321857,2019,0.47401434385496005,0.5259856561450399
163,House of Gucci,153949410,53809574,100139836,2021,0.3495276402813106,0.6504723597186894
164,Peter Rabbit 2: The Runaway,153901717,40501717,113400000,2021,0.2631661152942173,0.7368338847057827
165,Red Sparrow,151572634,46874505,104698129,2018,0.30925440670246584,0.6907455932975342
166,A Writer's Odyssey,150123320,160013,149963307,2021,0.001065877040289277,0.9989341229597107
167,The Angry Birds Movie 2,147792047,41667116,106124931,2019,0.2819307049722371,0.7180692950277628
168,The Boss Baby 2: Family Business,146745280,57300280,89445000,2021,0.3904744329766518,0.6095255670233483
169,Angel Has Fallen,146661977,69030436,77631541,2019,0.470677113537069,0.529322886462931
170,PAW Patrol: The Movie,144327371,40127371,104200000,2021,0.27803022200134164,0.7219697779986584
171,The Invisible Man,143151000,70410000,72741000,2020,0.49185824758471824,0.5081417524152818
172,More Than Blue,142958164,722669,142235495,2018,0.005055108290282743,0.9949448917097172
173,Onward,141940042,61555145,80384897,2020,0.43367004921697855,0.5663299507830215
174,Scream,140041405,81641405,58400000,2022,0.582980476381253,0.4170195236187469
175,Death on the Nile,137295068,45630104,91664964,2022,0.3323506420492832,0.6676493579507168
176,The First Purge,137056262,69488745,67567517,2018,0.5070089026650968,0.49299109733490326
177,How Long Will I Love U,136796719,746933,136049786,2018,0.005460167505918033,0.994539832494082
178,Tom & Jerry,133336687,46536687,86800000,2021,0.34901637386565637,0.6509836261343437
179,A Wrinkle in Time,132675864,100478608,32197256,2018,0.7573239394921144,0.2426760605078856
180,Be Somebody,132326332,0,132326332,2021,0.0,1.0
181,Halloween Kills,131647155,92002155,39645000,2021,0.6988541074055113,0.30114589259448865
182,The House with a Clock in Its Walls,131457147,68549695,62907452,2018,0.521460388912898,0.478539611087102
183,Raya and the Last Dragon,130423032,54723032,75700000,2021,0.4195810445504748,0.5804189554495252
184,Warm Hug,129240236,0,129240236,2020,0.0,1.0
185,Sister,128317206,0,128317206,2021,0.0,1.0
186,Ad Astra,127461872,50188370,77273502,2019,0.393752023350167,0.606247976649833
187,Midway,127420861,56846802,70574059,2019,0.4461341852022174,0.5538658147977826
188,The King's Man,125897478,37176373,88721105,2021,0.29529084768481223,0.7047091523151877
189,The Upside,125852517,108252517,17600000,2019,0.860153770305603,0.13984622969439697
190,The Curse of La Llorona,123133739,54733739,68400000,2019,0.4445064321485438,0.5554935678514562
191,Looking Up,122994583,84267,122910316,2019,0.0006851277344466463,0.9993148722655534
192,Zombieland: Double Tap,122810399,73123082,49687317,2019,0.5954144160056023,0.40458558399439776
193,Last Christmas,121550750,35150750,86400000,2019,0.2891857927655732,0.7108142072344268
194,Soul,120957731,0,120957731,2020,0.0,1.0
195,Instant Family,120556201,67363237,53192964,2018,0.5587704028596588,0.4412295971403412
196,Extreme Job,119932733,1565885,118366848,2019,0.013056360518358236,0.9869436394816418
197,The Addams Family 2,119815153,56489153,63326000,2021,0.4714691888763018,0.5285308111236982
198,Dora and the Lost City of Gold,119682635,60477943,59204692,2019,0.505319280445321,0.4946807195546789
